GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,Nadia,N.,Ahmad,"MD, MPH",,,Featured Guest Speakers
2,Caroline,M.,Apovian,MD,,,Featured Guest Speakers
3,Louis,J.,Aronne,MD,,,Featured Guest Speakers
4,Joel,V.,Brill,MD,,,Featured Guest Speakers
5,Dana,R.,Brittan,MBA,,,Featured Guest Speakers
6,Sonia,,Caprio,MD,,,Featured Guest Speakers
7,Christopher,D.,Gardner,PhD,,,Featured Guest Speakers
8,Thomas,H.,Inge,"MD, PhD",,,Featured Guest Speakers
9,Scott,,Kahan,"MD, MPH",,,Featured Guest Speakers
10,Robert,F.,Kushner,"MD, MS",,,Featured Guest Speakers
11,Gerard,E.,Mullin,MD,,,Featured Guest Speakers
12,Nikhil,,Pai,MD,,,Featured Guest Speakers
13,Ken,,Resnicow,PhD,,,Featured Guest Speakers
14,Richard,I.,Rothstein,MD,,,Featured Guest Speakers
15,David,,Sarwer,PhD,,,Featured Guest Speakers
16,Gitanjali,,Srivastava,MD,,,Featured Guest Speakers
17,Christopher,D.,Still,DO,,,Featured Guest Speakers
18,Thomas,A.,Wadden,PhD,,,Featured Guest Speakers
19,Wayne,L.,Westcott,PhD,,,Featured Guest Speakers
20,W.,Scott,Butsch,"MD, MS",,,Harvard Medical School Faculty
21,Sanjiv,,Chopra,MBBS,,,Harvard Medical School Faculty
22,Pieter,A.,Cohen,MD,,,Harvard Medical School Faculty
23,Paul,M.,Copeland,"MD, MPhil",,,Harvard Medical School Faculty
24,Sue,,Cummings,"MS, RD",,,Harvard Medical School Faculty
25,Matthew,W.,Gillman,"MD, SM",,,Harvard Medical School Faculty
26,Mark,J.,Gorman,PhD,,,Harvard Medical School Faculty
27,Ida,J.,Hatoum,ScD,,,Harvard Medical School Faculty
28,Alison,G.,Hoppin,MD,,,Harvard Medical School Faculty
29,Matthew,M.,Hutter,MD,,,Harvard Medical School Faculty
30,Lee,M.,Kaplan,"MD, PhD",,,Harvard Medical School Faculty
31,Sekar,,Kathiresan,MD,,,Harvard Medical School Faculty
32,Suzanne,J.,Koven,MD,,,Harvard Medical School Faculty
33,Sriram,,Machineni,MD,,,Harvard Medical School Faculty
34,Christos,S.,Mantzoros,"MD, DSc, PhD",,,Harvard Medical School Faculty
35,James,B.,Meigs,"MD, MPH",,,Harvard Medical School Faculty
36,James,E.,Mojica,MD,,,Harvard Medical School Faculty
37,Edward,M.,Phillips,MD,,,Harvard Medical School Faculty
38,Philip,J.,Saylor,MD,,,Harvard Medical School Faculty
39,Frank,A.J.L,Scheer,PhD,,,Harvard Medical School Faculty
40,Fatima,Cody,Stanford,"MD, MPH",,,Harvard Medical School Faculty
41,Thomas,W.,Storer,PhD,,,Harvard Medical School Faculty
42,Elsie,M.,Taveras,"MD, MPH",,,Harvard Medical School Faculty
43,Raul,N.,Uppot,MD,,,Harvard Medical School Faculty
44,Christina,C.,Wee,"MD, MPH",,,Harvard Medical School Faculty
45,Deborah,J.,Wexler,MD,,,Harvard Medical School Faculty
