GUID,Start Day and Time,End Day and Time,Header,Sub Header,Title,Description,Schedule Day
1,6/17/2015 6:30:00,6/17/2015 7:30:00,,,Registration and Breakfast,,Obesity Medicine Board Review
2,6/17/2015 7:30:00,6/17/2015 7:45:00,Board Review Session 1,,Welcome and Introduction,"Lee M. Kaplan, MD, PhD",Obesity Medicine Board Review
3,6/17/2015 7:45:00,6/17/2015 8:05:00,Board Review Session 1,,Introduction to the ABOM Certification and Examination,"Dana R. Brittan, MBA",Obesity Medicine Board Review
4,6/17/2015 8:05:00,6/17/2015 8:40:00,Board Review Session 1,,Pathophysiology 1:  Anatomy & Neuroendocrinology,"Nadia N. Ahmad, MD, MPH",Obesity Medicine Board Review
5,6/17/2015 8:40:00,6/17/2015 9:15:00,Board Review Session 1,,Nutrition Assessment and Therapy,"W. Scott Butsch, MD, MS",Obesity Medicine Board Review
6,6/17/2015 9:15:00,6/17/2015 9:50:00,Board Review Session 1,,Cardiorespiratory Fitness and Exercise,"Sriram Machineni, MD",Obesity Medicine Board Review
7,6/17/2015 10:20:00,6/17/2015 10:55:00,Board Review Session 2,,Pathophysiology 2:  Physiology of Energy Balance,"Nadia N. Ahmad, MD, MPH",Obesity Medicine Board Review
8,6/17/2015 10:55:00,6/17/2015 11:30:00,Board Review Session 2,,Pediatrics 2: Patient Assessment,"Gitanjali Srivastava, MD",Obesity Medicine Board Review
9,6/17/2015 11:30:00,6/17/2015 12:05:00,Board Review Session 2,,Pediatrics 2: Patient Management,"Gitanjali Srivastava, MD",Obesity Medicine Board Review
10,6/17/2015 13:15:00,6/17/2015 13:50:00,Board Review Session Workshop 3,,Pathophysiology 3,"Nadia N. Ahmad, MD, MPH",Obesity Medicine Board Review
11,6/17/2015 13:50:00,6/17/2015 14:25:00,Board Review Session Workshop 3,,Bariatric Surgery,"W. Scott Butsch, MD, MS",Obesity Medicine Board Review
